timestamp,symbol,conid,last,bid,ask
2026-07-03T16:37:08.814312,SBUX,274105,N/A,N/A,N/A
2026-07-03T17:01:01.487371,TREX,6608603,48.47,47.96,49.10
2026-07-07T17:21:10.390049,TREX,6608603,47.07,46.99,47.07
2026-09-08T19:28:21.872934,TREX,6608603,N/A,N/A,N/A
2026-09-08T19:35:50.867599,TREX,6608603,45.87,45.85,45.90
2026-09-08T19:37:59.953983,TREX,6608603,45.85,45.83,45.87
2026-09-08T20:54:26.410987,TREX,6608603,N/A,N/A,N/A
2026-09-08T20:56:30.429072,TREX,6608603,45.87,45.85,45.88
2026-09-08T20:57:16.912748,CROX,37792836,N/A,N/A,N/A
2026-09-08T20:58:05.648327,CROX,37792836,114.52,114.44,114.60
2026-09-09T20:51:57.614960,CROX,37792836,N/A,N/A,N/A
2026-09-09T21:23:40.398994,CROX,37792836,N/A,N/A,N/A
2026-09-09T21:24:34.693493,CROX,37792836,111.86,111.83,111.88
2026-09-16T17:14:49.981811,CROX,37792836,N/A,N/A,N/A
2026-09-16T17:15:15.116053,CROX,37792836,114.31,114.24,114.37
